index	index_p	rindex	rindex_p	cogid	id_Eryuan	segment_Eryuan	segment_Eryuan_L1	segment_Eryuan_L2	segment_Eryuan_L3	segment_Eryuan_R1	segment_Eryuan_R2	segment_Eryuan_R3	SC_Eryuan	SC_Eryuan_L1	SC_Eryuan_L2	SC_Eryuan_L3	SC_Eryuan_R1	SC_Eryuan_R2	SC_Eryuan_R3	PROSODY_Eryuan	PROSODY_Eryuan_L1	PROSODY_Eryuan_L2	PROSODY_Eryuan_L3	PROSODY_Eryuan_R1	PROSODY_Eryuan_R2	PROSODY_Eryuan_R3	id_Heqing	segment_Heqing	segment_Heqing_L1	segment_Heqing_L2	segment_Heqing_L3	segment_Heqing_R1	segment_Heqing_R2	segment_Heqing_R3	SC_Heqing	SC_Heqing_L1	SC_Heqing_L2	SC_Heqing_L3	SC_Heqing_R1	SC_Heqing_R2	SC_Heqing_R3	PROSODY_Heqing	PROSODY_Heqing_L1	PROSODY_Heqing_L2	PROSODY_Heqing_L3	PROSODY_Heqing_R1	PROSODY_Heqing_R2	PROSODY_Heqing_R3	id_Jianchuan	segment_Jianchuan	segment_Jianchuan_L1	segment_Jianchuan_L2	segment_Jianchuan_L3	segment_Jianchuan_R1	segment_Jianchuan_R2	segment_Jianchuan_R3	SC_Jianchuan	SC_Jianchuan_L1	SC_Jianchuan_L2	SC_Jianchuan_L3	SC_Jianchuan_R1	SC_Jianchuan_R2	SC_Jianchuan_R3	PROSODY_Jianchuan	PROSODY_Jianchuan_L1	PROSODY_Jianchuan_L2	PROSODY_Jianchuan_L3	PROSODY_Jianchuan_R1	PROSODY_Jianchuan_R2	PROSODY_Jianchuan_R3	id_Lanping	segment_Lanping	segment_Lanping_L1	segment_Lanping_L2	segment_Lanping_L3	segment_Lanping_R1	segment_Lanping_R2	segment_Lanping_R3	SC_Lanping	SC_Lanping_L1	SC_Lanping_L2	SC_Lanping_L3	SC_Lanping_R1	SC_Lanping_R2	SC_Lanping_R3	PROSODY_Lanping	PROSODY_Lanping_L1	PROSODY_Lanping_L2	PROSODY_Lanping_L3	PROSODY_Lanping_R1	PROSODY_Lanping_R2	PROSODY_Lanping_R3	id_Luobenzhuo	segment_Luobenzhuo	segment_Luobenzhuo_L1	segment_Luobenzhuo_L2	segment_Luobenzhuo_L3	segment_Luobenzhuo_R1	segment_Luobenzhuo_R2	segment_Luobenzhuo_R3	SC_Luobenzhuo	SC_Luobenzhuo_L1	SC_Luobenzhuo_L2	SC_Luobenzhuo_L3	SC_Luobenzhuo_R1	SC_Luobenzhuo_R2	SC_Luobenzhuo_R3	PROSODY_Luobenzhuo	PROSODY_Luobenzhuo_L1	PROSODY_Luobenzhuo_L2	PROSODY_Luobenzhuo_L3	PROSODY_Luobenzhuo_R1	PROSODY_Luobenzhuo_R2	PROSODY_Luobenzhuo_R3	id_Qiliqiao	segment_Qiliqiao	segment_Qiliqiao_L1	segment_Qiliqiao_L2	segment_Qiliqiao_L3	segment_Qiliqiao_R1	segment_Qiliqiao_R2	segment_Qiliqiao_R3	SC_Qiliqiao	SC_Qiliqiao_L1	SC_Qiliqiao_L2	SC_Qiliqiao_L3	SC_Qiliqiao_R1	SC_Qiliqiao_R2	SC_Qiliqiao_R3	PROSODY_Qiliqiao	PROSODY_Qiliqiao_L1	PROSODY_Qiliqiao_L2	PROSODY_Qiliqiao_L3	PROSODY_Qiliqiao_R1	PROSODY_Qiliqiao_R2	PROSODY_Qiliqiao_R3	id_Xiangyun	segment_Xiangyun	segment_Xiangyun_L1	segment_Xiangyun_L2	segment_Xiangyun_L3	segment_Xiangyun_R1	segment_Xiangyun_R2	segment_Xiangyun_R3	SC_Xiangyun	SC_Xiangyun_L1	SC_Xiangyun_L2	SC_Xiangyun_L3	SC_Xiangyun_R1	SC_Xiangyun_R2	SC_Xiangyun_R3	PROSODY_Xiangyun	PROSODY_Xiangyun_L1	PROSODY_Xiangyun_L2	PROSODY_Xiangyun_L3	PROSODY_Xiangyun_R1	PROSODY_Xiangyun_R2	PROSODY_Xiangyun_R3	id_Yunlong	segment_Yunlong	segment_Yunlong_L1	segment_Yunlong_L2	segment_Yunlong_L3	segment_Yunlong_R1	segment_Yunlong_R2	segment_Yunlong_R3	SC_Yunlong	SC_Yunlong_L1	SC_Yunlong_L2	SC_Yunlong_L3	SC_Yunlong_R1	SC_Yunlong_R2	SC_Yunlong_R3	PROSODY_Yunlong	PROSODY_Yunlong_L1	PROSODY_Yunlong_L2	PROSODY_Yunlong_L3	PROSODY_Yunlong_R1	PROSODY_Yunlong_R2	PROSODY_Yunlong_R3	id_Zhoucheng	segment_Zhoucheng	segment_Zhoucheng_L1	segment_Zhoucheng_L2	segment_Zhoucheng_L3	segment_Zhoucheng_R1	segment_Zhoucheng_R2	segment_Zhoucheng_R3	SC_Zhoucheng	SC_Zhoucheng_L1	SC_Zhoucheng_L2	SC_Zhoucheng_L3	SC_Zhoucheng_R1	SC_Zhoucheng_R2	SC_Zhoucheng_R3	PROSODY_Zhoucheng	PROSODY_Zhoucheng_L1	PROSODY_Zhoucheng_L2	PROSODY_Zhoucheng_L3	PROSODY_Zhoucheng_R1	PROSODY_Zhoucheng_R2	PROSODY_Zhoucheng_R3
1	0.3333	3	1.0000	823	206	k	∅	∅	∅	ɤ	²¹	∅	K	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅	207	k	∅	∅	∅	ɯ	²¹	∅	K	∅	∅	∅	I	_	∅	1	∅	∅	∅	7	0	∅																							208	k	∅	∅	∅	u	³¹	∅	K	∅	∅	∅	Y	_	∅	1	∅	∅	∅	7	0	∅																							209	k	∅	∅	∅	ɤ	³¹	∅	K	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅																							210	k	∅	∅	∅	ɤ	²¹	∅	K	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅	211	k	∅	∅	∅	ɤ	³¹	∅	K	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅
2	0.6667	2	0.6667	823	206	ɤ	k	∅	∅	²¹	∅	∅	E	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	207	ɯ	k	∅	∅	²¹	∅	∅	I	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																							208	u	k	∅	∅	³¹	∅	∅	Y	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																							209	ɤ	k	∅	∅	³¹	∅	∅	E	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																							210	ɤ	k	∅	∅	²¹	∅	∅	E	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	211	ɤ	k	∅	∅	³¹	∅	∅	E	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅
3	1.0000	1	0.3333	823	206	²¹	ɤ	k	∅	∅	∅	∅	_	E	K	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	207	²¹	ɯ	k	∅	∅	∅	∅	_	I	K	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																							208	³¹	u	k	∅	∅	∅	∅	_	Y	K	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																							209	³¹	ɤ	k	∅	∅	∅	∅	_	E	K	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																							210	²¹	ɤ	k	∅	∅	∅	∅	_	E	K	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	211	³¹	ɤ	k	∅	∅	∅	∅	_	E	K	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅
1	0.3333	3	1.0000	840																							212	tsʰ	∅	∅	∅	ɛ̃	⁴⁴	∅	C	∅	∅	∅	E	_	∅	2	∅	∅	∅	7	0	∅	213	tsʰ	∅	∅	∅	ɛ̃	⁴⁴	∅	C	∅	∅	∅	E	_	∅	2	∅	∅	∅	7	0	∅																																																																																																																																				
2	0.6667	2	0.6667	840																							212	ɛ̃	tsʰ	∅	∅	⁴⁴	∅	∅	E	C	∅	∅	_	∅	∅	7	2	∅	∅	0	∅	∅	213	ɛ̃	tsʰ	∅	∅	⁴⁴	∅	∅	E	C	∅	∅	_	∅	∅	7	2	∅	∅	0	∅	∅																																																																																																																																				
3	1.0000	1	0.3333	840																							212	⁴⁴	ɛ̃	tsʰ	∅	∅	∅	∅	_	E	C	∅	∅	∅	∅	0	7	2	∅	∅	∅	∅	213	⁴⁴	ɛ̃	tsʰ	∅	∅	∅	∅	_	E	C	∅	∅	∅	∅	0	7	2	∅	∅	∅	∅																																																																																																																																				
1	0.3333	3	1.0000	882																							214	ts	∅	∅	∅	ɿ	³³	∅	C	∅	∅	∅	I	_	∅	2	∅	∅	∅	7	0	∅	215	ts	∅	∅	∅	ɿ	³³	∅	C	∅	∅	∅	I	_	∅	2	∅	∅	∅	7	0	∅																																																																			216	ts	∅	∅	∅	ɿ	³³	∅	C	∅	∅	∅	I	_	∅	2	∅	∅	∅	7	0	∅																							217	ts	∅	∅	∅	ɿ	³³	∅	C	∅	∅	∅	I	_	∅	2	∅	∅	∅	7	0	∅
2	0.6667	2	0.6667	882																							214	ɿ	ts	∅	∅	³³	∅	∅	I	C	∅	∅	_	∅	∅	7	2	∅	∅	0	∅	∅	215	ɿ	ts	∅	∅	³³	∅	∅	I	C	∅	∅	_	∅	∅	7	2	∅	∅	0	∅	∅																																																																			216	ɿ	ts	∅	∅	³³	∅	∅	I	C	∅	∅	_	∅	∅	7	2	∅	∅	0	∅	∅																							217	ɿ	ts	∅	∅	³³	∅	∅	I	C	∅	∅	_	∅	∅	7	2	∅	∅	0	∅	∅
3	1.0000	1	0.3333	882																							214	³³	ɿ	ts	∅	∅	∅	∅	_	I	C	∅	∅	∅	∅	0	7	2	∅	∅	∅	∅	215	³³	ɿ	ts	∅	∅	∅	∅	_	I	C	∅	∅	∅	∅	0	7	2	∅	∅	∅	∅																																																																			216	³³	ɿ	ts	∅	∅	∅	∅	_	I	C	∅	∅	∅	∅	0	7	2	∅	∅	∅	∅																							217	³³	ɿ	ts	∅	∅	∅	∅	_	I	C	∅	∅	∅	∅	0	7	2	∅	∅	∅	∅
1	0.3333	3	1.0000	923	218	ɕ	∅	∅	∅	ɔ	³¹	∅	S	∅	∅	∅	U	_	∅	3	∅	∅	∅	7	0	∅																																																																																									219	ɕ	∅	∅	∅	ɔ	³¹	∅	S	∅	∅	∅	U	_	∅	3	∅	∅	∅	7	0	∅	220	c	∅	∅	∅	õ	⁴²	∅	C	∅	∅	∅	U	_	∅	1	∅	∅	∅	7	0	∅	221	ɕ	∅	∅	∅	ɔ	³¹	∅	S	∅	∅	∅	U	_	∅	3	∅	∅	∅	7	0	∅	222	ɕ	∅	∅	∅	o	³¹	∅	S	∅	∅	∅	U	_	∅	3	∅	∅	∅	7	0	∅
2	0.6667	2	0.6667	923	218	ɔ	ɕ	∅	∅	³¹	∅	∅	U	S	∅	∅	_	∅	∅	7	3	∅	∅	0	∅	∅																																																																																									219	ɔ	ɕ	∅	∅	³¹	∅	∅	U	S	∅	∅	_	∅	∅	7	3	∅	∅	0	∅	∅	220	õ	c	∅	∅	⁴²	∅	∅	U	C	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	221	ɔ	ɕ	∅	∅	³¹	∅	∅	U	S	∅	∅	_	∅	∅	7	3	∅	∅	0	∅	∅	222	o	ɕ	∅	∅	³¹	∅	∅	U	S	∅	∅	_	∅	∅	7	3	∅	∅	0	∅	∅
3	1.0000	1	0.3333	923	218	³¹	ɔ	ɕ	∅	∅	∅	∅	_	U	S	∅	∅	∅	∅	0	7	3	∅	∅	∅	∅																																																																																									219	³¹	ɔ	ɕ	∅	∅	∅	∅	_	U	S	∅	∅	∅	∅	0	7	3	∅	∅	∅	∅	220	⁴²	õ	c	∅	∅	∅	∅	_	U	C	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	221	³¹	ɔ	ɕ	∅	∅	∅	∅	_	U	S	∅	∅	∅	∅	0	7	3	∅	∅	∅	∅	222	³¹	o	ɕ	∅	∅	∅	∅	_	U	S	∅	∅	∅	∅	0	7	3	∅	∅	∅	∅
1	0.3333	3	1.0000	925	223	t	∅	∅	∅	ɯ	⁴²	∅	T	∅	∅	∅	I	_	∅	1	∅	∅	∅	7	0	∅	224	t	∅	∅	∅	ɯ	⁴²	∅	T	∅	∅	∅	I	_	∅	1	∅	∅	∅	7	0	∅	225	t	∅	∅	∅	ɯ	⁴²	∅	T	∅	∅	∅	I	_	∅	1	∅	∅	∅	7	0	∅																																																																																																															226	t	∅	∅	∅	ɯ	⁴²	∅	T	∅	∅	∅	I	_	∅	1	∅	∅	∅	7	0	∅
2	0.6667	2	0.6667	925	223	ɯ	t	∅	∅	⁴²	∅	∅	I	T	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	224	ɯ	t	∅	∅	⁴²	∅	∅	I	T	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	225	ɯ	t	∅	∅	⁴²	∅	∅	I	T	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																																																																																																															226	ɯ	t	∅	∅	⁴²	∅	∅	I	T	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅
3	1.0000	1	0.3333	925	223	⁴²	ɯ	t	∅	∅	∅	∅	_	I	T	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	224	⁴²	ɯ	t	∅	∅	∅	∅	_	I	T	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	225	⁴²	ɯ	t	∅	∅	∅	∅	_	I	T	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																																																																																																															226	⁴²	ɯ	t	∅	∅	∅	∅	_	I	T	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅
1	0.3333	3	1.0000	926																																													227	ts	∅	∅	∅	ɿ	³¹	∅	C	∅	∅	∅	I	_	∅	2	∅	∅	∅	7	0	∅	228	ts	∅	∅	∅	ɯ	³³	∅	C	∅	∅	∅	I	_	∅	2	∅	∅	∅	7	0	∅																																													229	ts	∅	∅	∅	ɿ	³³	∅	C	∅	∅	∅	I	_	∅	2	∅	∅	∅	7	0	∅																																												
2	0.6667	2	0.6667	926																																													227	ɿ	ts	∅	∅	³¹	∅	∅	I	C	∅	∅	_	∅	∅	7	2	∅	∅	0	∅	∅	228	ɯ	ts	∅	∅	³³	∅	∅	I	C	∅	∅	_	∅	∅	7	2	∅	∅	0	∅	∅																																													229	ɿ	ts	∅	∅	³³	∅	∅	I	C	∅	∅	_	∅	∅	7	2	∅	∅	0	∅	∅																																												
3	1.0000	1	0.3333	926																																													227	³¹	ɿ	ts	∅	∅	∅	∅	_	I	C	∅	∅	∅	∅	0	7	2	∅	∅	∅	∅	228	³³	ɯ	ts	∅	∅	∅	∅	_	I	C	∅	∅	∅	∅	0	7	2	∅	∅	∅	∅																																													229	³³	ɿ	ts	∅	∅	∅	∅	_	I	C	∅	∅	∅	∅	0	7	2	∅	∅	∅	∅																																												
1	0.3333	3	1.0000	927																																																																			230	k	∅	∅	∅	a	⁵⁵	∅	K	∅	∅	∅	A	_	∅	1	∅	∅	∅	7	0	∅	231	q	∅	∅	∅	a	⁵⁵	∅	K	∅	∅	∅	A	_	∅	1	∅	∅	∅	7	0	∅																																																																																								
2	0.6667	2	0.6667	927																																																																			230	a	k	∅	∅	⁵⁵	∅	∅	A	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	231	a	q	∅	∅	⁵⁵	∅	∅	A	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																																																																																								
3	1.0000	1	0.3333	927																																																																			230	⁵⁵	a	k	∅	∅	∅	∅	_	A	K	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	231	⁵⁵	a	q	∅	∅	∅	∅	_	A	K	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																																																																																								
1	0.3333	3	1.0000	947	232	j	∅	∅	∅	ɛ	⁴²	∅	J	∅	∅	∅	E	_	∅	6	∅	∅	∅	7	0	∅	233	j	∅	∅	∅	ɛ̃	⁴²	∅	J	∅	∅	∅	E	_	∅	6	∅	∅	∅	7	0	∅	234	j	∅	∅	∅	ɛ	⁴²	∅	J	∅	∅	∅	E	_	∅	6	∅	∅	∅	7	0	∅																																													235	j	∅	∅	∅	ɛ	³²	∅	J	∅	∅	∅	E	_	∅	6	∅	∅	∅	7	0	∅																							236	j	∅	∅	∅	ɛ	⁴²	∅	J	∅	∅	∅	E	_	∅	6	∅	∅	∅	7	0	∅	237	j	∅	∅	∅	ɛ	⁴²	∅	J	∅	∅	∅	E	_	∅	6	∅	∅	∅	7	0	∅
2	0.6667	2	0.6667	947	232	ɛ	j	∅	∅	⁴²	∅	∅	E	J	∅	∅	_	∅	∅	7	6	∅	∅	0	∅	∅	233	ɛ̃	j	∅	∅	⁴²	∅	∅	E	J	∅	∅	_	∅	∅	7	6	∅	∅	0	∅	∅	234	ɛ	j	∅	∅	⁴²	∅	∅	E	J	∅	∅	_	∅	∅	7	6	∅	∅	0	∅	∅																																													235	ɛ	j	∅	∅	³²	∅	∅	E	J	∅	∅	_	∅	∅	7	6	∅	∅	0	∅	∅																							236	ɛ	j	∅	∅	⁴²	∅	∅	E	J	∅	∅	_	∅	∅	7	6	∅	∅	0	∅	∅	237	ɛ	j	∅	∅	⁴²	∅	∅	E	J	∅	∅	_	∅	∅	7	6	∅	∅	0	∅	∅
3	1.0000	1	0.3333	947	232	⁴²	ɛ	j	∅	∅	∅	∅	_	E	J	∅	∅	∅	∅	0	7	6	∅	∅	∅	∅	233	⁴²	ɛ̃	j	∅	∅	∅	∅	_	E	J	∅	∅	∅	∅	0	7	6	∅	∅	∅	∅	234	⁴²	ɛ	j	∅	∅	∅	∅	_	E	J	∅	∅	∅	∅	0	7	6	∅	∅	∅	∅																																													235	³²	ɛ	j	∅	∅	∅	∅	_	E	J	∅	∅	∅	∅	0	7	6	∅	∅	∅	∅																							236	⁴²	ɛ	j	∅	∅	∅	∅	_	E	J	∅	∅	∅	∅	0	7	6	∅	∅	∅	∅	237	⁴²	ɛ	j	∅	∅	∅	∅	_	E	J	∅	∅	∅	∅	0	7	6	∅	∅	∅	∅
1	0.3333	3	1.0000	948																																																																			238	v	∅	∅	∅	ɛ	³³	∅	B	∅	∅	∅	E	_	∅	3	∅	∅	∅	7	0	∅	239	v	∅	∅	∅	e	³³	∅	B	∅	∅	∅	E	_	∅	3	∅	∅	∅	7	0	∅																																																																																								
2	0.6667	2	0.6667	948																																																																			238	ɛ	v	∅	∅	³³	∅	∅	E	B	∅	∅	_	∅	∅	7	3	∅	∅	0	∅	∅	239	e	v	∅	∅	³³	∅	∅	E	B	∅	∅	_	∅	∅	7	3	∅	∅	0	∅	∅																																																																																								
3	1.0000	1	0.3333	948																																																																			238	³³	ɛ	v	∅	∅	∅	∅	_	E	B	∅	∅	∅	∅	0	7	3	∅	∅	∅	∅	239	³³	e	v	∅	∅	∅	∅	_	E	B	∅	∅	∅	∅	0	7	3	∅	∅	∅	∅																																																																																								
1	0.3333	3	1.0000	957																							240	p	∅	∅	∅	ɔu	³¹	∅	P	∅	∅	∅	U	_	∅	1	∅	∅	∅	7	0	∅																																													241	b	∅	∅	∅	o	⁴⁴	∅	P	∅	∅	∅	U	_	∅	1	∅	∅	∅	7	0	∅																							242	p	∅	∅	∅	a	³¹	∅	P	∅	∅	∅	A	_	∅	1	∅	∅	∅	7	0	∅	243	p	∅	∅	∅	ao	²¹	∅	P	∅	∅	∅	A	_	∅	1	∅	∅	∅	7	0	∅																						
2	0.6667	2	0.6667	957																							240	ɔu	p	∅	∅	³¹	∅	∅	U	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																																													241	o	b	∅	∅	⁴⁴	∅	∅	U	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																							242	a	p	∅	∅	³¹	∅	∅	A	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	243	ao	p	∅	∅	²¹	∅	∅	A	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																						
3	1.0000	1	0.3333	957																							240	³¹	ɔu	p	∅	∅	∅	∅	_	U	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																																													241	⁴⁴	o	b	∅	∅	∅	∅	_	U	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																							242	³¹	a	p	∅	∅	∅	∅	_	A	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	243	²¹	ao	p	∅	∅	∅	∅	_	A	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																						
1	0.3333	3	1.0000	958																																													244	m	∅	∅	∅	a	²¹	∅	M	∅	∅	∅	A	_	∅	4	∅	∅	∅	7	0	∅	245	m	∅	∅	∅	a	²¹	∅	M	∅	∅	∅	A	_	∅	4	∅	∅	∅	7	0	∅																																																																																																														
2	0.6667	2	0.6667	958																																													244	a	m	∅	∅	²¹	∅	∅	A	M	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅	245	a	m	∅	∅	²¹	∅	∅	A	M	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅																																																																																																														
3	1.0000	1	0.3333	958																																													244	²¹	a	m	∅	∅	∅	∅	_	A	M	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅	245	²¹	a	m	∅	∅	∅	∅	_	A	M	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅																																																																																																														
1	0.5000	2	1.0000	966	246	a	∅	∅	∅	⁵⁵	∅	∅	A	∅	∅	∅	_	∅	∅	7	∅	∅	∅	0	∅	∅																							247	a	∅	∅	∅	⁵⁵	∅	∅	A	∅	∅	∅	_	∅	∅	7	∅	∅	∅	0	∅	∅																																													248	a	∅	∅	∅	⁵⁵	∅	∅	A	∅	∅	∅	_	∅	∅	7	∅	∅	∅	0	∅	∅	249	a	∅	∅	∅	⁵⁵	∅	∅	A	∅	∅	∅	_	∅	∅	7	∅	∅	∅	0	∅	∅																							250	a	∅	∅	∅	⁵⁵	∅	∅	A	∅	∅	∅	_	∅	∅	7	∅	∅	∅	0	∅	∅
2	1.0000	1	0.5000	966	246	⁵⁵	a	∅	∅	∅	∅	∅	_	A	∅	∅	∅	∅	∅	0	7	∅	∅	∅	∅	∅																							247	⁵⁵	a	∅	∅	∅	∅	∅	_	A	∅	∅	∅	∅	∅	0	7	∅	∅	∅	∅	∅																																													248	⁵⁵	a	∅	∅	∅	∅	∅	_	A	∅	∅	∅	∅	∅	0	7	∅	∅	∅	∅	∅	249	⁵⁵	a	∅	∅	∅	∅	∅	_	A	∅	∅	∅	∅	∅	0	7	∅	∅	∅	∅	∅																							250	⁵⁵	a	∅	∅	∅	∅	∅	_	A	∅	∅	∅	∅	∅	0	7	∅	∅	∅	∅	∅
1	0.3333	3	1.0000	967	251	n	∅	∅	∅	i	⁵⁵	∅	N	∅	∅	∅	I	_	∅	4	∅	∅	∅	7	0	∅	252	n	∅	∅	∅	i	³⁵	∅	N	∅	∅	∅	I	_	∅	4	∅	∅	∅	7	0	∅	253	n	∅	∅	∅	i	⁵⁵	∅	N	∅	∅	∅	I	_	∅	4	∅	∅	∅	7	0	∅	254	n	∅	∅	∅	i	⁵⁵	∅	N	∅	∅	∅	I	_	∅	4	∅	∅	∅	7	0	∅																																																																																																														
2	0.6667	2	0.6667	967	251	i	n	∅	∅	⁵⁵	∅	∅	I	N	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅	252	i	n	∅	∅	³⁵	∅	∅	I	N	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅	253	i	n	∅	∅	⁵⁵	∅	∅	I	N	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅	254	i	n	∅	∅	⁵⁵	∅	∅	I	N	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅																																																																																																														
3	1.0000	1	0.3333	967	251	⁵⁵	i	n	∅	∅	∅	∅	_	I	N	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅	252	³⁵	i	n	∅	∅	∅	∅	_	I	N	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅	253	⁵⁵	i	n	∅	∅	∅	∅	_	I	N	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅	254	⁵⁵	i	n	∅	∅	∅	∅	_	I	N	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅																																																																																																														
1	0.3333	3	1.0000	971																																																																																																															255	m	∅	∅	∅	i	⁵⁵	∅	M	∅	∅	∅	I	_	∅	4	∅	∅	∅	7	0	∅	256	m	∅	∅	∅	i	⁵⁵	∅	M	∅	∅	∅	I	_	∅	4	∅	∅	∅	7	0	∅	257	m	∅	∅	∅	i	⁵⁵	∅	M	∅	∅	∅	I	_	∅	4	∅	∅	∅	7	0	∅	258	m	∅	∅	∅	i	⁵⁵	∅	M	∅	∅	∅	I	_	∅	4	∅	∅	∅	7	0	∅
2	0.6667	2	0.6667	971																																																																																																															255	i	m	∅	∅	⁵⁵	∅	∅	I	M	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅	256	i	m	∅	∅	⁵⁵	∅	∅	I	M	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅	257	i	m	∅	∅	⁵⁵	∅	∅	I	M	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅	258	i	m	∅	∅	⁵⁵	∅	∅	I	M	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅
3	1.0000	1	0.3333	971																																																																																																															255	⁵⁵	i	m	∅	∅	∅	∅	_	I	M	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅	256	⁵⁵	i	m	∅	∅	∅	∅	_	I	M	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅	257	⁵⁵	i	m	∅	∅	∅	∅	_	I	M	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅	258	⁵⁵	i	m	∅	∅	∅	∅	_	I	M	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅
1	0.3333	3	1.0000	983	259	tɕ	∅	∅	∅	i	⁴²	∅	C	∅	∅	∅	I	_	∅	2	∅	∅	∅	7	0	∅																							260	tɕ	∅	∅	∅	i	⁴²	∅	C	∅	∅	∅	I	_	∅	2	∅	∅	∅	7	0	∅	261	tɕ	∅	∅	∅	i	³¹	∅	C	∅	∅	∅	I	_	∅	2	∅	∅	∅	7	0	∅																																													262	tɕ	∅	∅	∅	i	⁴²	∅	C	∅	∅	∅	I	_	∅	2	∅	∅	∅	7	0	∅	263	k	∅	∅	∅	ɛ	³¹	∅	K	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅	264	kʲ	∅	∅	∅	i	⁴²	∅	K	∅	∅	∅	I	_	∅	1	∅	∅	∅	7	0	∅
2	0.6667	2	0.6667	983	259	i	tɕ	∅	∅	⁴²	∅	∅	I	C	∅	∅	_	∅	∅	7	2	∅	∅	0	∅	∅																							260	i	tɕ	∅	∅	⁴²	∅	∅	I	C	∅	∅	_	∅	∅	7	2	∅	∅	0	∅	∅	261	i	tɕ	∅	∅	³¹	∅	∅	I	C	∅	∅	_	∅	∅	7	2	∅	∅	0	∅	∅																																													262	i	tɕ	∅	∅	⁴²	∅	∅	I	C	∅	∅	_	∅	∅	7	2	∅	∅	0	∅	∅	263	ɛ	k	∅	∅	³¹	∅	∅	E	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	264	i	kʲ	∅	∅	⁴²	∅	∅	I	K	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅
